# chữ Hán → âm Hán-Việt ('|' ngăn cách nếu đa âm, âm đầu = mặc định).
# Nguồn: github.com/ph0ngp/hanviet-pinyin-words (MIT) + Unihan kTraditionalVariant
# (giản thể hợp nhất cả âm của dạng phồn thể). Sinh bởi build_hv3.py 2026-07.
⻏	ấp
敍	tự
敎	giáo
敏	mẫn
救	cứu
敓	thoát
敔	ngữ
敕	sắc
敖	ngao
敗	bại
敘	tự
教	giáo|giao
敛	liễm|liệm
敜	niếp
敝	tệ
敞	sưởng
敢	cảm
散	tản|tán
敦	đôn
敪	xuyết
敫	kiểu
敬	kính
敭	dương
数	sổ|số|sác
敱	ngai
敲	xao
整	chỉnh
敵	địch
敷	phu
數	sổ|số|sác
敹	liêu
敺	khu
敻	quýnh
敽	kiểu
敿	kiểu
斁	dịch
斂	liễm|liệm
斃	tễ
斄	lai
文	văn
斈	học
斉	tề
斋	trai
斌	bân
斎	trai
斐	phỉ
斑	ban
斒	ban
斓	lan
斕	lan
斗	đẩu|đấu
料	liệu
斛	hộc
斜	tà
斝	giả
斞	dữu
斟	châm
斠	giác
斡	oát
斤	cân
斥	xích
斧	phủ
斨	thương
斩	trảm
斫	chước
斬	trảm
断	đoạn|đoán
斮	trác
斯	tư
新	tân
斲	trác
斵	trác
斷	đoạn|đoán
斸	trọc
方	phương
於	ư|ô
施	thi|thí
斾	bái
斿	du
旁	bàng
旂	kỳ
旃	chiên
旄	mao|mạo
旅	lữ
旆	bái
旊	phưởng
旋	hoàn|tuyền
旌	tinh
旎	nỉ
族	tộc
旐	triệu
旒	lưu
旓	sao
旖	ỷ
旗	kỳ
旛	phan
旝	quái
旟	dư
无	vô|mô
旡	ký
既	ký
旣	ký
旤	hoạ
日	nhật
旦	đán
旧	cựu
旨	chỉ
早	tảo
旪	hiệp
旬	tuần
旭	húc
旮	ca
旯	lạp
旰	cán
旱	hạn
旴	hu
时	thời
旷	khoáng
旸	dương
旹	thời
旺	vượng
旻	mân
旼	mân
旾	xuân
昀	quân
昂	ngang
昃	trắc
昄	bản
昆	côn
昇	thăng
昉	phưởng
昊	hạo
昌	xương
明	minh
昏	hôn
昒	hốt
易	dịch|dị
昔	tích
昕	hân
昙	đàm
昚	thận
昜	dương
昝	tảm
昞	bỉnh
星	tinh
映	ánh
昡	huyễn
春	xuân
昧	muội
昨	tạc
昫	hú
昬	hôn
昭	chiêu
是	thị
昱	dục
昳	điệt
昴	mão
昵	nật
昶	sưởng
昺	bỉnh
昼	trú
昽	lung
显	hiển
晁	triều
時	thời
晃	hoảng|hoàng
晄	hoảng
晅	huyên
晉	tấn
晋	tấn
晌	thưởng
晏	yến
晒	sái
晓	hiểu
晔	diệp
晕	vựng
晖	huy
晗	hàm
晚	vãn
晛	hiện
晜	côn
晝	trú
晞	hy
晟	thịnh|thạnh
晡	bô
晢	triết
晤	ngộ
晦	hối
晨	thần
晩	vãn
晫	trác
晬	tối
普	phổ
景	cảnh
晰	tích
晳	tích
晴	tình
晶	tinh
晷	quỹ
智	trí
晻	ám
晾	lượng
暂	tạm
暄	huyên
暆	di
暇	hạ
暈	vựng
暉	huy
暋	mân|mẫn
暌	khuê
暍	hát
暎	ánh
暐	vĩ
暑	thử
暖	noãn
暗	ám
暘	dương
暝	minh
暠	cảo|hạo
暢	sướng
暦	lịch
暧	ái
暨	kỵ
暫	tạm
暮	mộ
暱	nật
暴	bạo
暵	hán
暸	liêu
暹	xiêm
暾	thôn
曀	ý
曄	diệp
曆	lịch
曇	đàm
曈	đồng
曉	hiểu
曌	chiếu
曏	hướng
曖	ái
曙	thự
曚	mông
曛	huân
曜	diệu
曝	bộc
曠	khoáng
曡	điệp
曦	hy
曨	lung
曩	nãng
曬	sái
曰	viết
曲	khúc
曳	duệ
更	canh|cánh|càng
曷	hạt
書	thư
曹	tào
曼	mạn
曽	tằng
曾	tằng|tăng|từng
替	thế
最	tối
朁	thảm
會	hội|cối
朅	khiết
朆	phân
月	nguyệt
有	hữu
朋	bằng
服	phục
朏	phỉ
朐	cù
朓	thiểu
朔	sóc
朕	trẫm
朗	lãng
朙	minh
望	vọng
朝	triều|triêu
朞	kỳ
期	kỳ
朢	vọng
朣	đồng
朦	mông
朧	lung
木	mộc
未	vị|mùi
末	mạt
本	bản
札	trát
朮	truật
术	thuật
朱	chu
朳	bát
朴	phác
朵	đoá
朶	đoá
机	cơ
朽	hủ
朾	tranh
朿	thứ
杀	sát
杂	tạp
权	quyền
杅	vu
杆	can
杇	ô
杈	xoa
杉	sam
杌	ngột
李	lý
杏	hạnh
材	tài
村	thôn
杓	tiêu|thược
杕	đệ
杖	trượng
杗	mang
杙	dặc
杜	đỗ
杝	di
杞	kỷ
束	thúc
杠	giang|cống
条	điều
来	lai
杧	mang
杨	dương
杪	diểu
杭	hàng
杯	bôi
杰	kiệt
東	đông
杲	cảo
杳	yểu
杵	xử
杶	suân
杷	ba|bà
杻	sửu|nữu
杼	trữ
松	tùng|tông
板	bản
极	cực
构	cấu
枇	tỳ
枉	uổng
枊	ngang
枋	phương
枌	phần
枏	nam
析	tích
枒	nha
枓	đẩu
枕	chẩm
林	lâm
枘	nhuế
枚	mai
果	quả
枝	chi
枞	tung
枢	xu
枣	táo
枥	lịch
枨	tranh
枪	thương
枫	phong
枭	kiêu
枯	khô
枰	bình
枱	đài
枲	tỷ
枳	chỉ
枴	quải
枵	hiêu
架	giá
枷	gia
枸	câu|cẩu|củ
枹	phu
枻	duệ
柁	đà
柂	di
柃	linh
柄	bính
柅	nỉ
柈	bàn
柊	chung
柎	phu
柏	bách|bá
某	mỗ
柑	cam
柒	thất
染	nhiễm
柔	nhu
柘	chá
柙	hiệp
柚	dữu
柜	quỹ|cử|cự
柝	thác
柞	tạc
柟	nam
柠	ninh
柢	đế
柣	trật
柤	tra
查	tra
柩	cữu
柬	giản
柮	đốt
柯	kha
柰	nại
柱	trụ
柲	biết
柳	liễu
柴	sài
柶	tứ
柷	chúc
柹	thị
柽	sanh
柿	thị
栀	chi
栃	lệ
栄	vinh
标	tiêu
栈	sạn
栉	trất
栊	lồng
栋	đống
栌	lô
栎	lịch
栏	lan
树	thụ
栓	xuyên
栔	khế
栖	thê
栗	lật
栘	di
栝	quát
栞	san
栟	bôn
校	hiệu
栢	bách
栩	hủ
株	chu
栭	nhi
栰	phạt
栱	củng
栲	khảo
栳	lão
栴	chiên
栵	lệ
样	dạng
核	hạch|hạt
根	căn
栻	thức
格	cách
栽	tài
栾	loan
桀	kiệt
桁	hàng|hành
桂	quế
桃	đào
桄	quang|quáng
桅	nguy
框	khung
案	án
桉	an
桋	di
桌	trác
桎	trất
桐	đồng
桑	tang
桓	hoàn
桔	kết|cát|quất
桕	cữu
桚	tạt
桠	nha
桡	nhiêu
桢	trinh
档	đáng
桤	khi
桥	kiều
桦	hoa
桧	cối
桨	tưởng
桩	trang
桫	sa
桮	bôi
桯	thinh
桲	bột
桴	phù
桶	thùng
桷	giác
桹	lang
桺	liễu
桿	can
梁	lương
梃	đĩnh
梅	mai
梆	bang
梏	cốc
梐	bệ
梓	tử
梔	chi
梗	cành|ngạnh
條	điều
梟	kiêu
梠	lữ
梡	khoản
梢	sao
梣	sầm
梦	mộng
梧	ngô
梨	lê
梩	tỷ
梭	thoa
梯	thê
械	giới
梱	khổn
梲	chuyết
梳	sơ
梴	siên
梵	phạn
梹	tân
梼	đào
梿	liên
检	kiểm
棁	chuyết
棂	linh
棃	lê
棄	khí
棉	miên
棊	kỳ
棋	kỳ
棍	côn
棐	phỉ
棒	bổng
棕	tông
棖	tranh
棗	táo
棘	cức
棚	bằng
棜	ứ
棟	đống
棠	đường
棣	đệ
棧	sạn
棨	khể
棫	vực
棬	khuyên
森	sâm
棯	nhẫm
棰	truỳ
棱	lăng
棲	thê
棳	xuyết
棵	khoả
棸	trâu
棹	trác
棺	quan
棻	phân
棼	phần
椀	oản
椁	quách
椄	tiếp
椅	ỷ
椆	chu
椈	cúc
椉	thừa
椌	khoang
植	thực
椎	chuỳ|truỳ|chuy
椏	nha
椐	cư
椑	ty
椒	tiêu
椓	trác
椗	đính
椝	quy
椟	độc
椠	tạm
椤	la
椫	thiện
椭	thoả
椮	sâm
椰	dừa
椳	ôi
椴	đoạn
椵	giả
椶	tông
椷	giam
椸	di
椹	thậm
椽	chuyên
椾	tiên
椿	xuân
楀	vũ
楂	tra
楄	biên
楅	bức
楊	dương
楎	hồn
楓	phong
楔	tiết
楗	kiện
楘	mộc
楙	mậu
楚	sở
楛	hộ|khổ
楝	luyện
楞	lăng
楟	đình
楠	nam
楢	do
楣	my
楥	huyên
楦	huyên
楨	trinh
楩	tiện
楪	điệp
楫	tiếp
楬	kiệt
業	nghiệp
楮	chử
楯	thuẫn
楰	du
楳	mai
極	cực
楷	giai|khải
楸	thu
楹	doanh
楼	lâu
楽	lạc
概	khái
榄	lãm
榅	ôn
榆	du
榇	sấn
榈	lư
榉	cử
榎	giả
榔	lang
榕	dung
榖	cốc
榘	củ
榛	trăn
榜	bảng
榤	kiệt
榥	hoảng
榦	cán
榧	phỉ
榨	trá
榫	chuẩn
榭	tạ
榮	vinh
榰	chi
榱	suy
榲	ôn
榴	lựu
榷	các
榻	tháp
榼	khạp
榾	cốt
榿	khi
槀	cảo
槁	cảo
槃	bàn
槊	sóc
構	cấu
槌	chuỳ
槍	thương
槎	tra
槐	hoè
槑	mai
槓	cống
槔	cao
槕	trác
槖	thác
様	dạng
槚	giả
槛	hạm
槟	tân
槠	chư
槢	tập
槤	liên
槥	tuệ
槧	tạm
槨	quách
槩	khái
槭	túc
槮	sâm
槱	dửu
槲	hộc
槳	tưởng
槵	hoạn
槹	cao
槺	khang
槻	quy
槼	quy
槽	tào
槾	man
槿	cẩn
樁	trang
樂	lạc|nhạc
樅	tung
樆	ly
樊	phiền
樐	lỗ
樑	lương
樓	lâu
樗	sư
樘	đường
標	tiêu
樛	cù
樞	xu
樟	chương
樠	man
模	mô
樣	dạng
樧	sát
樨	tê
権	quyền
横	hoành|hoạnh
樯	tường
樱	anh
樲	nhị
樴	chức
樵	tiều
樸	phác
樹	thụ
樺	hoa
樻	quỹ
樽	tôn
樾	việt
樿	thiện
橃	phạt
橄	cảm
橇	khiêu
橈	nhiêu
橊	lựu
橋	kiều
橐	thác
橕	sanh
橘	quýt
橙	tranh
橚	túc
橛	quyết
橜	quyết
機	cơ
橡	tượng
橢	thoả
橤	nhuỵ
橥	trư
橧	tăng
橫	hoành|hoạnh
橱	trù
橹	lỗ
橼	duyên
橾	táo
橿	cương
檀	đàn
檁	lẫm
檃	ổn
檄	hịch
檇	tuy
檉	sanh
檊	cán
檍	ức
檎	cầm
檐	diêm
檑	lôi
檔	đáng
檗	bách
檜	cối
檝	tiếp
檟	giả
檠	kềnh
檢	kiểm
檣	tường
檥	nghĩ
檩	lẫm
檬	mông
檮	đào
檯	đài
檳	tân
檸	ninh
檻	hạm
櫂	trạo
櫃	quỹ
櫆	khôi
櫈	đắng
櫌	ưu
櫓	lỗ
櫚	lư
櫛	trất
櫜	cao
櫝	độc
櫞	duyên
櫟	lịch
櫡	trước
櫥	trù
櫧	chư
櫨	lô
櫪	lịch
櫫	trư
櫬	sấn
櫱	nghiệt
櫳	lồng
櫸	cử
櫺	linh
櫻	anh
櫽	ẩn
欂	bạc
欃	sàm
欄	lan
權	quyền
欎	uất
欏	la
欐	lệ
欑	toàn
欒	loan
欖	lãm
欙	luy
欛	bá
欝	uất
欞	linh
欠	khiếm
次	thứ
欢	hoan
欣	hân
欤	dư
欧	âu
欨	hu
欬	khái
欱	húp
欲	dục
欵	khoản
欶	sóc
欷	hy
欸	ải
欹	y
欺	khi
欻	hốt
欽	khâm
款	khoản
欿	khảm
歃	sáp
歆	hâm
歇	hiết
歈	du
歉	khiểm
歊	hiêu
歌	ca
歎	thán
歐	âu
歓	hoan
歔	hư
歕	phun
歗	khiếu
歘	hốt
歙	thiệp
歛	liễm
歜	xúc
歟	dư
歠	xuyết
歡	hoan
止	chỉ
正	chinh|chính|chánh
此	thử
步	bộ
武	võ
歧	kỳ
歩	bộ
歪	oai|oa
歫	cự
歯	xỉ
歰	sáp
歲	tuế
歳	tuế
歴	lịch
歷	lịch
歸	quy
歹	tồi
歺	ngạt
死	tử
歼	tiêm
歾	một
歿	một
殀	yểu
殁	một
殂	tồ
殃	ương
殄	điển
殆	đãi
殇	thương
殈	hức
殉	tuẫn
殊	thù
残	tàn
殍	biễu
殑	căng
殒	vẫn
殓	liệm
殖	thực
殗	yếp
殘	tàn
殙	hôn
殚	đàn
殛	cức
殜	triệp
殞	vẫn
殠	hú
殡	tấn
殢	thế
殣	cận
殤	thương
殥	dần
殪	ế
殫	đàn
殭	cương
殮	liệm
殯	tấn
殰	độc
殲	tiêm
殳	thù
殴	ẩu
段	đoạn
殷	ân|an|ẩn
殸	thanh
殹	ý
殺	sát
殻	xác
殼	xác
殽	hào
殿	điện
毀	huỷ
毁	huỷ
毂	cốc
毅	nghị
毆	ẩu
毈	đoạn
毉	y
毋	vô
毌	quán
母	mẫu
毎	mỗi
每	mỗi
毐	ải
毒	độc
毓	dục
比	tỷ|bỉ|bi
毕	tất
毖	bí
毗	tỳ
毘	tỳ
毙	tễ
毚	sàm
毛	mao
毡	chiên
毧	nhung
毫	hào
毬	cầu
毯	thảm
毳	thuế
毵	tam
毷	máo
毹	su
毽	kiến
毾	tháp
毿	tam
氂	mao
氄	nhũng
氅	sưởng
氆	phổ
氇	lỗ
氈	chiên
氉	táo
氊	chiên
氌	lỗ
氍	cù
氏	thị|chi
氐	đê|để
民	dân
氓	manh
气	khí
氕	phân
氖	nãi
気	khí
氘	đao
氙	tiên
氚	xuyên
氛	phân
氜	dương
氟	phất
氠	tiên
氡	đông
氢	khinh
氣	khí
氤	nhân
氥	tây
氦	hợi
氧	dưỡng
氨	an
氩	á
氪	khắc
氫	khinh
氬	á
氮	đạm
氯	lục
氰	tình
氲	uân
氳	uân
水	thuỷ
氵	thuỷ
氷	băng
永	vĩnh
氹	đãng
氺	thuỷ
氽	thận
氾	phiếm
氿	quỹ
汀	đinh
汁	trấp
求	cầu
汆	thoản
汇	hối|hội
汉	hán
汊	xá
汋	chước
汍	hoàn
汎	phiếm
汏	đại
汐	tịch
汔	khất
汕	sán
汗	hãn
汙	ô
汚	ô
汛	tấn
汜	dĩ
汝	nhữ
汞	cống
江	giang
池	trì
污	ô
汤	thang|sương
汧	khiên
汨	mịch
汩	cốt
汪	uông
汭	nhuế
汰	thải
汲	cấp
汳	biện
汴	biện
汶	vấn
汹	hung
決	quyết
汽	khí
汾	phần
沁	thấm
沂	nghi
沃	ốc
沄	vân
沅	nguyên
沆	hãng
沇	duyện
沈	thẩm|trầm
沉	trầm
沌	độn
沍	hộ
沏	thế
沐	mộc
沒	một
沓	đạp
沔	miện
沕	vật
沖	xung
沙	sa
沚	chỉ
沛	bái
沟	câu
没	một
沣	phong
沤	âu|ủ
沥	lịch
沦	luân
沧	thương
沨	phong
沩	quy
沪	hỗ
沫	mạt
沬	muội
沭	thuật
沮	trở
沱	đà
河	hà
沴	lệ
沸	phí
油	dầu
沺	điền
治	trị
沼	chiểu
沽	cô
沾	triêm
沿	duyên
況	huống
泂	huýnh
泃	cú
泄	tiết
泅	tù
泆	dật
泇	gia
泉	tuyền
泊	bạc
泌	bí
泐	lặc
泑	ửu
泒	cô
泓	hoằng
泔	cam
法	pháp
泖	mão
泗	tứ
泙	bình
泚	thử
泛	phiếm
泜	trì
泝	tố
泞	nính
泠	linh
泡	phao|bào
波	ba
泣	khấp
泥	nê|nệ|nễ
注	chú
泪	lệ
泫	huyễn
泭	phu
泮	phán
泯	mẫn
泰	thái
泱	ương
泲	tể
泳	vịnh
泵	bơm
泷	sang|lung|lang
泸	lô
泺	lạc
泻	tả
泼	bát
泽	trạch
泾	kinh
洁	khiết
洄	hồi
洇	yên|nhân
洊	tiến
洋	dương
洌	liệt
洎	kịp
洏	nhi
洑	phục
洒	sái
洗	tẩy
洙	chu
洚	giáng
洛	lạc
洞	động
洟	thế
洣	mễ
津	tân
洧	vị
洨	hào
洩	tiết
洪	hồng
洫	hức
洭	khuông
洮	thao
洱	nhĩ
洲	châu
洳	như
洴	bình
洵	tuân
洶	hung
洸	quang
洹	hoàn
洺	minh
活	hoạt
洼	oa
洽	hiệp|hợp
派	phái
洿	ô
流	lưu
浃	tiếp
浄	tịnh
浅	tiên|thiển
浆	tương
浇	kiêu
浈	trinh
浉	sư
浊	trọc
测	trắc
浍	quái
济	tể|tế
浏	lưu
浐	sản
浑	hồn
浒	hử
浓	nồng
浔	tầm
浕	tấn
浙	chiết
浚	tuấn
浜	banh|binh
浞	trác
浠	hy
浡	bột
浣	hoán
浤	hoành
浥	ấp
浦	phổ
浩	hạo
浪	lãng
浬	lý
浭	canh
浮	phù
浯	ngô
浰	lợi
浴	dục
海	hải
浸	tẩm
浹	tiếp
浼	mỗi
浽	tuy
涂	đồ
涅	niết
涇	kinh
消	tiêu
涉	thiệp
涊	niễn
涌	dũng
涎	tiên
涐	nga
涑	tốc
涒	thôn
涓	quyên
涔	sầm
涕	thế
涖	lị
涘	sĩ
涛	đào
涝	lạo
涞	lai
涟	liên
涡	qua|oa
涢	vân
涣	hoán
涤	địch
润	nhuận
涧	giản
涨	trướng
涩	sáp
涪	phù
涫	quán
涬	hãnh
涮	xuyến
涯	nhai
液	dịch
涴	ngoạ
涵	hàm
涷	đông
涸	hạc
涼	lương|lượng
涿	trác
淀	điến
淂	đắc
淄	truy
淅	tích
淆	hào
淇	kỳ
淋	lâm
淌	thảng
淏	hạo
淑	thục
淒	thê
淖	náo
淘	đào
淙	tông
淚	lệ
淛	chiết
淜	bằng
淝	phì
淞	tùng
淟	điến
淠	bái
淡	đạm
淢	vực
淤	ứ
淥	lục
淦	cam
淨	tịnh
淩	lăng
淪	luân
淫	dâm
淬	thối
淮	hoài
淯	dục
淰	niệm
深	thâm
淳	thuần
淵	uyên
淶	lai
混	hỗn|hồn
淸	thanh
淹	yêm
淺	tiên|thiển
添	thiêm
淼	miểu
清	thanh
渊	uyên
渌	lục
渍	tý
渎	độc
渐	tiêm|tiệm
渑	thằng
渔	ngư
渖	thẩm
渗	sấm
渙	hoán
渚	chử
減	giảm
渝	du
渟	đình
渠	cừ|cự
渡	độ
渢	phong
渣	tra
渤	bột
渥	ác
渦	qua|oa
渨	ôi
温	ôn
渫	tiết
測	trắc
渭	vị
渮	ca
港	cảng
渰	yểm
渲	tuyển
渴	khát
游	du
渺	miểu
渼	mỹ
渾	hồn
湃	phái
湄	my
湅	luyện
湉	điềm
湊	thấu
湋	vy
湌	xan
湍	thoan
湎	miện
湑	tư
湓	bồn
湔	tiên
湖	hồ
湘	tương
湛	trạm
湜	thực
湝	giai
湞	trinh
湟	hoàng
湢	bức
湣	mẫn
湧	dũng
湩	đống
湫	tiểu|tưu
湮	yên|nhân
湯	thang|sương
湱	hoạch
湲	viên
湻	thuần
湼	niết
湾	loan
湿	thấp
溃	hội
溅	tiễn
溆	tự
溇	lâu|lũ
溈	quy
溉	khái
溍	tấn
溎	quế
溏	đường
源	nguyên
準	chuẩn
溘	khạp
溛	oa
溜	lựu|lưu
溝	câu
溟	minh
溠	trá
溢	dật
溥	phổ
溦	vi
溧	lật
溪	khê
溫	ôn
溮	sư
溯	tố
溱	trăn
溲	sưu
溳	vân
溴	xú
溵	ân
溶	dung
溷	hỗn
溺	nịch|niệu
溻	thạp
溼	thấp
溽	nhục
滁	trừ
滂	bàng
滃	ổng
滄	thương
滅	diệt
滇	điền
滉	hoảng
滋	tư
滌	địch
滍	trĩ
滎	huỳnh
滏	phủ
滑	hoạt
滓	chỉ
滔	thao
滕	đằng
滗	tiết
滘	khiếu
滙	hối
滚	cổn
滛	dâm
滝	long
滞	trệ
滠	nhiếp
满	mãn
滢	huỳnh
滤	lự
滥	lạm
滦	loan
滨	tân
滩	than
滪	dự
滫	tựu
滬	hỗ
滮	bưu
滯	trệ
滲	sấm
滴	tích
滷	lỗ
滸	hử
滹	hô
滻	sản
滾	cổn
滿	mãn
漁	ngư
漂	phiêu|phiếu
漆	tất
漈	tế
漉	lộc
漊	lâu|lũ
漎	tùng
漏	lậu|lộ
漓	ly
演	diễn
漕	tào
漘	thần
漙	đoàn
漚	âu|ủ
漠	mạc
漢	hán
漣	liên
漥	oa
漦	ly
漨	bồng
漩	tuyền
漪	y
漫	mạn
漬	tý
漭	mãng
漯	tháp
漰	băng
漱	súc
漲	trướng
漳	chương
漵	tự
漶	hoán
漷	khuếch
漸	tiêm|tiệm
漼	thôi
漾	dạng
漿	tương
潀	tùng
潁	dĩnh
潄	súc
潆	oanh
潇	tiêu
潋	liễm
潍	duy
潎	bệ
潏	quất
潑	bát
潔	khiết
潕	vũ
潗	tập
潘	phan
潚	tiêu
潛	tiềm
潜	tiềm
潝	hấp
潞	lộ
潟	tích
潠	tốn
潢	hoàng
潤	nhuận
潦	lạo|lao
潭	đàm
潮	trào|triều
潯	tầm
潰	hội
潲	sảo
潴	chứa
潷	tiết
潸	san
潺	sàn
潼	đồng
潾	lân
澀	sáp
澁	sáp
澂	trừng
澄	trừng
澆	kiêu
澇	lạo
澈	triệt
澉	cảm
澌	tê
澍	thụ
澎	bành
澐	vân
澒	hống
澔	hạo
澗	giản
澜	lan
澟	lẫm
澠	thằng
澡	táo
澣	hoán
澤	trạch
澥	giải
澦	dự
澧	lễ
澨	thệ
澫	vạn
澮	quái
澰	liễm
澱	điến
澳	úc
澴	hoàn
澶	thiền
澹	đạm|đàm
澼	phích
激	kích
濁	trọc
濂	liêm
濃	nồng
濆	phần
濇	sáp
濈	trấp
濊	uế
濋	sở
濑	lại
濒	tần
濔	nhĩ
濕	thấp
濘	nính
濛	mông
濜	tấn
濞	tị
濟	tể|tế
濠	hào
濡	nhu
濤	đào
濩	hoạch
濫	lạm
濬	tuấn
濮	bộc
濯	trạo|trạc
濰	duy
濱	tân
濲	cốc
濶	khoát
濺	tiễn
濼	lạc
濾	lự
濿	lệ
瀁	dạng
瀅	huỳnh
瀆	độc
瀉	tả
瀋	thẩm
瀌	tiêu
瀍	triền
瀏	lưu
瀑	bạo|bộc
瀕	tần
瀘	lô
瀚	hãn
瀛	doanh
瀝	lịch
瀞	tịnh
瀟	tiêu
瀠	oanh
瀡	tuỷ
瀣	giới
瀦	chứa
瀧	sang|lung|lang
瀨	lại
瀰	my
瀱	kế
瀲	liễm
瀳	tiến
瀹	thược
瀺	sàm
瀼	nhương
瀾	lan
灃	phong
灄	nhiếp
灈	cù
灉	ung
灋	pháp
灌	quán
灏	hạo
灑	sái
灒	tán
灕	ly
灖	mị
灘	than
灝	hạo
灞	bá
灠	lãm|lạm
灣	loan
灤	loan
灥	tầm
灨	cám
灩	diễm
灪	uất
火	hoả
灬	hoả
灭	diệt
灯	đăng
灰	hôi
灴	hồng
灵	linh
灶	táo
灸	cứu
灺	tã
灼	chước
災	tai
灾	tai
灿	xán
炀	dương
炁	khí
炅	quý|quýnh
炆	văn
炉	lò
炊	xuy
炎	viêm
炒	sao
炔	quế|khuyết
炕	kháng
炘	hân
炙	chích
炜	vĩ
炝	sang
炤	chiếu
炫	huyễn
炬	cự
炭	thán
炮	bào|pháo
炯	quýnh
炰	bào
炱	đài
炳	bỉnh
炷	chú
炸	trác|tạc
点	điểm
為	vi|vị|vì
炻	thạch
炼	luyện
炽	sí
烁	thước
烂	lạn
烃	thinh
烈	liệt
烊	dương
烋	hao
烏	ô
烕	diệt
烖	tai
烘	hồng
烙	lạc
烛	chúc
烜	huyễn
烝	chưng
烟	yên
烤	khảo
烦	phiền
烧	thiêu
烨	diệp
烩	quái
烫	năng
烬	tẫn
热	nhiệt
烯	hy
烱	quýnh
烴	thinh
烶	diễn
烷	hoàn
烹	phanh
烺	lãng
烽	phong
焄	huân
焆	yết
焉	yên
焊	hàn
焌	tuấn
焐	ngộ
焓	hàm
焕	hoán
焖	muộn
焘	đảo
焙	bồi
焚	phần
焜	côn
焞	đôn
焠	tôi
無	vô|mô
焦	tiêu
焮	hân
焯	trác
焰	diễm
焱	diễm
然	nhiên
煁	thầm
煃	khuể
煅	đoán
煆	hà|hạ
煇	huy
煉	luyện
煊	huyên
煌	hoàng
煎	chiên
煏	phức
煑	chử
煒	vĩ
煕	hy
煖	noãn
煗	noãn
煙	yên
煚	quýnh
煜	dục
煝	my
煞	sát
煠	sáp
煢	quỳnh
煤	môi
煥	hoán
煦	hú
照	chiếu
煨	ôi
煩	phiền
煬	dương
煮	chử
煲	bao
煳	hồ
煴	uân
煸	biên
煺	thoái
煻	đường
煽	phiến
熀	hoảng
熄	tức
熅	uân
熇	khảo
熊	hùng
熏	huân
熒	huỳnh
熔	dung
熗	sang
熘	lựu
熙	hy
熛	tiêu
熟	thục
熠	dập
熤	tập
熥	thông
熨	uý|uất
熬	ngao
熯	hãn
熰	âu
熱	nhiệt
熲	quýnh
熳	mạn
熸	tiêm
熹	hy
熾	sí
熿	hoàng
燀	xiển
燁	diệp
燂	tầm
燃	nhiên
燄	diễm
燈	đăng
燉	đốn
燊	sân
燋	tiêu
燎	liệu
燏	duật
燐	lân
燒	thiêu
燔	phần
燕	yên|yến
燖	tầm
燙	năng
燜	muộn
營	doanh|dinh
燠	úc
燡	dịch
燥	táo
燦	xán
燧	toại
燬	huỷ
燭	chúc
燮	tiếp
燴	quái
燹	tiển
燻	huân
燼	tẫn
燾	đảo
燿	diệu
爆	bộc
爇	nhiệt
爊	ngao
爌	hoảng
爍	thước
爐	lò
爓	diễm
爕	tiếp
爗	diệp
爚	dược
爛	lạn
爝	tước
爟	quán
爥	chúc
爨	thoán
爪	trảo
爫	trảo
爬	bò
爭	tranh
爯	xưng
爰	viên
爱	ái
爲	vi|vị
爵	tước
父	phụ
爷	gia
爸	ba
爹	tía
爺	gia
爻	hào
爽	sảng
爾	nhĩ
爿	tường|bản
牀	sàng
牁	ca
牂	tang
牆	tường
片	phiến
版	bản
牋	tiên
牌	bài
牍	độc
牎	song
牏	du
牐	sáp
牒	điệp
牓	bảng
牕	song
牖	dũ
牘	độc
牙	nha
牚	sanh
牛	ngưu
牜	ngưu
牝	tẫn
牟	mưu|mâu
牠	tha
牡	mẫu
牢	lao
牣	nhận
牦	mao
牧	mục
物	vật
牮	tiến
牯	cổ
牲	sinh
牴	để
牵	khiên
牷	toàn
牸	tự
特	đặc
牺	hy
牻	mang
牼	khanh
牽	khiên
牾	ngỗ
牿	cố
犀	tê
犁	lê
犂	lê
犄	cơ
犆	đặc
犇	bôn
犉	nhuyên
犊	độc
犋	cụ
犍	kiền
犎	phong
犏	biên
犒	khao
犖	lạc
犗	giới
犛	ly
犠	hy
犢	độc
犧	hy
犨	thù
犩	nguy
犪	quỳ
犫	thù
犬	khuyển
犭	khuyển
犮	bạt
犯	phạm
犴	ngạn
犵	ngật
状	trạng
犷	quảng
犸	mã
犹	do
犺	kháng
狀	trạng
狁	duẫn
狂	cuồng
狃	nữu
狄	địch
狆	trọng
狈	bái
狉	phi
狍	bào
狎	hiệp
狐	hồ
狒	phí
狓	phi
狗	cẩu
狘	huyết
狙	thư
狝	tiển
狞	nanh
狠	ngận
狡	giảo
狥	tuẫn
狨	nhung
狩	thú
狫	lão
独	độc
狭	hẹp
狮	sư
狯	quái
狰	tranh
狱	ngục
狲	tôn
狴	bệ
狷	quyến
狸	ly
狹	hẹp
狺	ngân
狻	toan
狼	lang
狽	bái
猁	lợi
猂	hãn
猃	hiểm
猇	khiêu
猈	bãi
猊	nghê
猋	tiêu
猎	liệp
猓	quả
猕	my
猖	xương
猗	y
猘	chế
猙	tranh
猛	mãnh
猜	sai
猝	thốt
猞	xá
猟	liệp
猡	la
猢	hồ
猣	tông
猥	ổi
猨	viên
猩	tinh
猪	trư
